p,gap,res_mod6,next_res_mod6
2,1,2,3
3,2,3,5
5,2,5,1
7,4,1,5
11,2,5,1
13,4,1,5
17,2,5,1
19,4,1,5
23,6,5,5
29,2,5,1
31,6,1,1
37,4,1,5
41,2,5,1
43,4,1,5
47,6,5,5
53,6,5,5
59,2,5,1
61,6,1,1
67,4,1,5
71,2,5,1
73,6,1,1
79,4,1,5
83,6,5,5
89,8,5,1
97,4,1,5
101,2,5,1
103,4,1,5
107,2,5,1
109,4,1,5
113,14,5,1
127,4,1,5
131,6,5,5
137,2,5,1
139,10,1,5
149,2,5,1
151,6,1,1
157,6,1,1
163,4,1,5
167,6,5,5
173,6,5,5
179,2,5,1
181,10,1,5
191,2,5,1
193,4,1,5
197,2,5,1
199,12,1,1
211,12,1,1
223,4,1,5
227,2,5,1
229,4,1,5
233,6,5,5
239,2,5,1
241,10,1,5
251,6,5,5
257,6,5,5
263,6,5,5
269,2,5,1
271,6,1,1
277,4,1,5
281,2,5,1
283,10,1,5
293,14,5,1
307,4,1,5
311,2,5,1
313,4,1,5
317,14,5,1
331,6,1,1
337,10,1,5
347,2,5,1
349,4,1,5
353,6,5,5
359,8,5,1
367,6,1,1
373,6,1,1
379,4,1,5
383,6,5,5
389,8,5,1
397,4,1,5
401,8,5,1
409,10,1,5
419,2,5,1
421,10,1,5
431,2,5,1
433,6,1,1
439,4,1,5
443,6,5,5
449,8,5,1
457,4,1,5
461,2,5,1
463,4,1,5
467,12,5,5
479,8,5,1
487,4,1,5
491,8,5,1
499,4,1,5
503,6,5,5
509,12,5,5
521,2,5,1
523,18,1,1
541,6,1,1
547,10,1,5
557,6,5,5
563,6,5,5
569,2,5,1
571,6,1,1
577,10,1,5
587,6,5,5
593,6,5,5
599,2,5,1
601,6,1,1
607,6,1,1
613,4,1,5
617,2,5,1
619,12,1,1
631,10,1,5
641,2,5,1
643,4,1,5
647,6,5,5
653,6,5,5
659,2,5,1
661,12,1,1
673,4,1,5
677,6,5,5
683,8,5,1
691,10,1,5
701,8,5,1
709,10,1,5
719,8,5,1
727,6,1,1
733,6,1,1
739,4,1,5
743,8,5,1
751,6,1,1
757,4,1,5
761,8,5,1
769,4,1,5
773,14,5,1
787,10,1,5
797,12,5,5
809,2,5,1
811,10,1,5
821,2,5,1
823,4,1,5
827,2,5,1
829,10,1,5
839,14,5,1
853,4,1,5
857,2,5,1
859,4,1,5
863,14,5,1
877,4,1,5
881,2,5,1
883,4,1,5
887,20,5,1
907,4,1,5
911,8,5,1
919,10,1,5
929,8,5,1
937,4,1,5
941,6,5,5
947,6,5,5
953,14,5,1
967,4,1,5
971,6,5,5
977,6,5,5
983,8,5,1
991,6,1,1
997,12,1,1
1009,4,1,5
1013,6,5,5
1019,2,5,1
1021,10,1,5
1031,2,5,1
1033,6,1,1
1039,10,1,5
1049,2,5,1
1051,10,1,5
1061,2,5,1
1063,6,1,1
1069,18,1,1
1087,4,1,5
1091,2,5,1
1093,4,1,5
1097,6,5,5
1103,6,5,5
1109,8,5,1
1117,6,1,1
1123,6,1,1
1129,22,1,5
1151,2,5,1
1153,10,1,5
1163,8,5,1
1171,10,1,5
1181,6,5,5
1187,6,5,5
1193,8,5,1
1201,12,1,1
1213,4,1,5
1217,6,5,5
1223,6,5,5
1229,2,5,1
1231,6,1,1
1237,12,1,1
1249,10,1,5
1259,18,5,5
1277,2,5,1
1279,4,1,5
1283,6,5,5
1289,2,5,1
1291,6,1,1
1297,4,1,5
1301,2,5,1
1303,4,1,5
1307,12,5,5
1319,2,5,1
1321,6,1,1
1327,34,1,5
1361,6,5,5
1367,6,5,5
1373,8,5,1
1381,18,1,1
1399,10,1,5
1409,14,5,1
1423,4,1,5
1427,2,5,1
1429,4,1,5
1433,6,5,5
1439,8,5,1
1447,4,1,5
1451,2,5,1
1453,6,1,1
1459,12,1,1
1471,10,1,5
1481,2,5,1
1483,4,1,5
1487,2,5,1
1489,4,1,5
1493,6,5,5
1499,12,5,5
1511,12,5,5
1523,8,5,1
1531,12,1,1
1543,6,1,1
1549,4,1,5
1553,6,5,5
1559,8,5,1
1567,4,1,5
1571,8,5,1
1579,4,1,5
1583,14,5,1
1597,4,1,5
1601,6,5,5
1607,2,5,1
1609,4,1,5
1613,6,5,5
1619,2,5,1
1621,6,1,1
1627,10,1,5
1637,20,5,1
1657,6,1,1
1663,4,1,5
1667,2,5,1
1669,24,1,1
1693,4,1,5
1697,2,5,1
1699,10,1,5
1709,12,5,5
1721,2,5,1
1723,10,1,5
1733,8,5,1
1741,6,1,1
1747,6,1,1
1753,6,1,1
1759,18,1,1
1777,6,1,1
1783,4,1,5
1787,2,5,1
1789,12,1,1
1801,10,1,5
1811,12,5,5
1823,8,5,1
1831,16,1,5
1847,14,5,1
1861,6,1,1
1867,4,1,5
1871,2,5,1
1873,4,1,5
1877,2,5,1
1879,10,1,5
1889,12,5,5
1901,6,5,5
1907,6,5,5
1913,18,5,5
1931,2,5,1
1933,16,1,5
1949,2,5,1
1951,22,1,5
1973,6,5,5
1979,8,5,1
1987,6,1,1
1993,4,1,5
1997,2,5,1
1999,4,1,5
2003,8,5,1
2011,6,1,1
2017,10,1,5
2027,2,5,1
2029,10,1,5
2039,14,5,1
2053,10,1,5
2063,6,5,5
2069,12,5,5
2081,2,5,1
2083,4,1,5
2087,2,5,1
2089,10,1,5
2099,12,5,5
2111,2,5,1
2113,16,1,5
2129,2,5,1
2131,6,1,1
2137,4,1,5
2141,2,5,1
2143,10,1,5
2153,8,5,1
2161,18,1,1
2179,24,1,1
2203,4,1,5
2207,6,5,5
2213,8,5,1
2221,16,1,5
2237,2,5,1
2239,4,1,5
2243,8,5,1
2251,16,1,5
2267,2,5,1
2269,4,1,5
2273,8,5,1
2281,6,1,1
2287,6,1,1
2293,4,1,5
2297,12,5,5
2309,2,5,1
2311,22,1,5
2333,6,5,5
2339,2,5,1
2341,6,1,1
2347,4,1,5
2351,6,5,5
2357,14,5,1
2371,6,1,1
2377,4,1,5
2381,2,5,1
2383,6,1,1
2389,4,1,5
2393,6,5,5
2399,12,5,5
2411,6,5,5
2417,6,5,5
2423,14,5,1
2437,4,1,5
2441,6,5,5
2447,12,5,5
2459,8,5,1
2467,6,1,1
2473,4,1,5
2477,26,5,1
2503,18,1,1
2521,10,1,5
2531,8,5,1
2539,4,1,5
2543,6,5,5
2549,2,5,1
2551,6,1,1
2557,22,1,5
2579,12,5,5
2591,2,5,1
2593,16,1,5
2609,8,5,1
2617,4,1,5
2621,12,5,5
2633,14,5,1
2647,10,1,5
2657,2,5,1
2659,4,1,5
2663,8,5,1
2671,6,1,1
2677,6,1,1
2683,4,1,5
2687,2,5,1
2689,4,1,5
2693,6,5,5
2699,8,5,1
2707,4,1,5
2711,2,5,1
2713,6,1,1
2719,10,1,5
2729,2,5,1
2731,10,1,5
2741,8,5,1
2749,4,1,5
2753,14,5,1
2767,10,1,5
2777,12,5,5
2789,2,5,1
