residue,rank,gap,share
1,1,6,0.2752396491943708
1,2,10,0.20772996124821538
1,3,12,0.14960228431572506
1,4,16,0.10575158066489904
1,5,18,0.07964511523557007
7,1,4,0.28111303638772805
7,2,6,0.20120273162776475
7,3,10,0.15431658342676588
7,4,12,0.10997859545408216
7,5,16,0.0767505860768525
11,1,2,0.2788255683555918
11,2,6,0.21041900295646854
11,3,8,0.1485370578040575
11,4,12,0.10887960036700989
11,5,18,0.07656234070751351
13,1,4,0.27293087651430314
13,2,6,0.20675964572941058
13,3,10,0.15270284027282907
13,4,16,0.11106586582510435
13,5,18,0.07278835386338185
17,1,2,0.2786500815660685
17,2,6,0.2093189233278956
17,3,12,0.14845024469820556
17,4,14,0.1238784665579119
17,5,20,0.06963703099510604
19,1,4,0.2759783386124451
19,2,10,0.20721365076121387
19,3,12,0.15060794932052723
19,4,18,0.10003065290691734
19,5,22,0.0940022478798406
23,1,6,0.2770888391949583
23,2,8,0.21081520634275258
23,3,14,0.17747509656434235
23,4,18,0.09686928237446636
23,5,20,0.07013620654604595
29,1,2,0.27498980008159934
29,2,8,0.20787433700530394
29,3,12,0.14902080783353733
29,4,14,0.12974296205630356
29,5,18,0.0744594043247654
