N,modulus,n_primes,mean_gap,omnibus_chi2,omnibus_cramers_v,omnibus_p_value,n_pairwise_significant,n_pairwise_total,naive_uniform_chi2,hardy_littlewood_chi2,hl_beats_naive,excess_bias_vs_cramer_p,excess_bias_vs_cramer_v,hl_bump_observed_ratio,hl_bump_theoretical_ratio,diagonal_share,off_diagonal_share,naive_expected_share
100000,6,9587,10.42870553875039,5737.724888475169,0.7736214392510872,0.0,1,1,369.94461249608844,1360.300797862049,False,0.7965853026266143,0.007281212278901926,1.952692501258178,2.0,0.20089704808594971,0.2991029519140503,0.25
100000,30,9580,10.433611691022964,10597.083941917172,0.39752222329384795,0.0,28,28,7524.768267223382,1771.6361138693487,True,0.022769986802845636,0.06728509498261023,1.9526448362720403,2.0,0.0019180584551148224,0.01758313450641217,0.015625
1000000,6,78493,12.739632833501076,45573.994727820354,0.7619791445508293,0.0,1,1,2104.014103168435,10684.882455363417,False,4.42721025085512e-08,0.015366315290951503,1.9763693384873458,2.0,0.20906959856292917,0.29093040143707083,0.25
1000000,30,78486,12.74043778508269,82019.39372732805,0.3863786843428497,0.0,28,28,39898.87373544327,12384.734155730675,True,7.394380344967957e-25,0.040265262936040165,1.9763658910204973,2.0,0.0032075784216293356,0.01739891736833867,0.015625
10000000,6,664574,15.047203170752994,375552.2318562477,0.751732800668879,0.0,1,1,12890.490118481915,87398.14344410656,False,9.639179520711968e-55,0.013820898376317585,1.9804896406924692,2.0,0.21518220694760853,0.28481779305239147,0.25
10000000,30,664567,15.047322542347123,670140.5223897747,0.37954610062328803,0.0,28,28,237822.8108211813,97718.54748577074,True,1.2479196072462162e-272,0.033635216749314044,1.9804892542339307,2.0,0.00446268021132557,0.017219617112667777,0.015625
100000000,6,5761450,17.35673797394753,3177264.3420071923,0.7426099702435737,0.0,1,1,86126.98867889159,744834.5421586853,False,0.0,0.013581206593973777,1.985320930328652,2.0,0.21943364951531297,0.28056635048468703,0.25
100000000,30,5761443,17.356754549164158,5640796.276674952,0.3739861789481162,0.0,28,28,1509702.948557679,816362.6453662675,True,0.0,0.030716300410651955,1.9853208924194956,2.0,0.0055346160675372475,0.01706648341892325,0.015625
1000000000,6,50847529,19.66663760592968,27364954.86578955,0.7336052687059849,0.0,1,1,612669.2167282111,6520611.697588167,False,0.0,0.01347674423786497,1.9901970444396184,2.0,0.22255785526962382,0.2774421447303762,0.25
1000000000,30,50847522,19.66663980203401,48407863.3677749,0.36878567287830255,0.0,28,28,10208090.996719409,7072345.590425871,True,0.0,0.0283729247299345,1.9901970412359258,2.0,0.006438974056592177,0.01693728942048683,0.015625
