class_a,class_b,ks_statistic,p_value,q_value_bh,significant_at_0.05
1,7,0.28111303638772805,0.0,0.0,True
1,11,0.3625419799217471,0.0,0.0,True
1,13,0.27293087651430314,5.4e-322,7.16e-322,True
1,17,0.2786500815660685,0.0,0.0,True
1,19,0.2759783386124451,0.0,0.0,True
1,23,0.2126643963433401,6.64181973935775e-195,7.748789695917375e-195,True
1,29,0.27498980008159934,0.0,0.0,True
7,11,0.2788255683555918,0.0,0.0,True
7,13,0.11421758437979804,3.2505728786745465e-56,3.250572878674546e-56,True
7,17,0.2786500815660685,0.0,0.0,True
7,19,0.20633742940304772,5.393504917482577e-183,6.040725507580487e-183,True
7,23,0.28111303638772805,0.0,0.0,True
7,29,0.27498980008159934,0.0,0.0,True
11,13,0.2788255683555918,0.0,0.0,True
11,17,0.14981262422215375,2.141714302127586e-96,2.2210370540582377e-96,True
11,19,0.36180329050367277,0.0,0.0,True
11,23,0.2788255683555918,0.0,0.0,True
11,29,0.214254771230461,1.6006006714203834e-197,2.0371281272623062e-197,True
13,17,0.2786500815660685,0.0,0.0,True
13,19,0.20371218363126864,1.861772364237884e-178,2.0049856230254133e-178,True
13,23,0.27293087651430314,2.6e-322,3.66e-322,True
13,29,0.27498980008159934,0.0,0.0,True
17,19,0.2786500815660685,0.0,0.0,True
17,23,0.2786500815660685,0.0,0.0,True
17,29,0.21297920481236476,3.548554444147104e-195,4.319979323309518e-195,True
19,23,0.2759783386124451,0.0,0.0,True
19,29,0.27498980008159934,0.0,0.0,True
23,29,0.27498980008159934,0.0,0.0,True
